csv,air_type,air_w,air_constraints,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct,delta_prove_pct,delta_verify_pct,delta_throughput_pct
csv,fib_w2_d2,2,1,2power16,16,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],2115024,0.720536,20.061,90954.480967,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,17,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],2383840,1.432676,22.475,91487.524532,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,18,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4],2644864,2.852943,24.630,91885.457122,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,19,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8],2904256,5.721248,27.486,91638.740319,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,20,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16],3160384,11.578244,32.540,90564.337446,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,21,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32],3461824,23.520759,46.254,89161.750319,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,22,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64],3753664,47.201172,92.658,88860.167212,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,23,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,128],4129984,95.861861,268.623,87507.252030,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,24,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,256],4675264,193.003435,959.978,86927.033173,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,16,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],2115024,0.700772,20.180,93519.704908,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,17,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],2383840,1.386146,22.434,94558.578237,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,18,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4],2644864,2.821810,24.741,92899.229543,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,19,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8],2904256,5.555536,27.526,94372.164903,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,20,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16],3160384,11.269770,32.503,93043.243526,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,21,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32],3461824,23.409472,46.362,89585.617190,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,22,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64],3753664,47.454075,92.738,88386.592258,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,23,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,128],4129984,96.240875,268.547,87162.631946,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,24,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,256],4675264,193.108369,959.748,86879.797482,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,16,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],2115024,0.702283,20.273,93318.475605,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,17,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],2383840,1.411270,22.463,92875.226957,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,18,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4],2644864,2.814290,24.761,93147.467664,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,19,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8],2904256,5.590744,27.571,93777.860257,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,20,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16],3160384,11.362959,32.570,92280.188873,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,21,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32],3461824,23.264214,46.354,90144.975377,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,22,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64],3753664,47.803345,92.652,87740.806206,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,23,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,128],4129984,95.920500,268.536,87453.755672,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,24,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,256],4675264,193.124089,959.862,86872.725500,0.00,0.00,0.00,0.00
