csv,air_type,air_w,air_constraints,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct,delta_prove_pct,delta_verify_pct,delta_throughput_pct
csv,fib_w2_d2,2,1,2power16,16,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],2356024,0.718395,19.475,91225.565401,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,17,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],2653160,1.394841,21.598,93969.131109,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,18,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4],2941448,2.801113,23.483,93585.640974,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,19,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8],3229832,5.595930,26.370,93690.943004,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,20,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16],3518408,11.428299,32.494,91752.583812,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,21,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32],3864248,23.196369,51.200,90408.631335,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,22,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64],4214648,46.902257,117.377,89426.484808,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,23,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,128],4687928,95.013206,371.851,88288.863671,0.00,0.00,0.00,0.00
csv,fib_w2_d2,2,1,2power16,24,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,256],5406968,189.238957,1378.299,88656.248487,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,16,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],2356024,0.682456,19.561,96029.567307,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,17,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],2653160,1.438300,21.619,91129.804754,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,18,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4],2941448,2.776935,23.562,94400.464279,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,19,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8],3229832,5.512854,26.468,95102.832477,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,20,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16],3518408,11.113731,32.503,94349.590304,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,21,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32],3864248,22.891395,51.200,91613.115337,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,22,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64],4214648,46.927548,117.517,89378.289971,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,23,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,128],4687928,94.451685,371.736,88813.746590,0.00,0.00,0.00,0.00
csv,poseidon_w16_d2,16,16,2power16,24,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,256],5406968,190.477490,1378.217,88079.783287,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,16,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],2356024,0.693136,19.721,94550.054963,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,17,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2],2653160,1.374574,21.547,95354.658759,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,18,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4],2941448,2.797933,23.614,93692.034925,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,19,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8],3229832,5.547321,26.460,94511.933040,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,20,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16],3518408,11.051101,32.540,94884.300165,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,21,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32],3864248,22.462036,51.103,93364.289091,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,22,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64],4214648,46.171643,117.385,90841.557650,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,23,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,128],4687928,94.508171,371.804,88760.664310,0.00,0.00,0.00,0.00
csv,regmach_w8_d2,8,8,2power16,24,[2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,256],5406968,189.938490,1378.282,88329.732650,0.00,0.00,0.00,0.00
